wnid num
n01944390 43742
n02206856 38178
n01855672 36435
n02948072 36173
n07747607 35489
n04507155 35412
n09246464 35161
n03388043 34959
n07734744 31628
n02793495 30840
n07614500 29639
n02129165 28678
n04356056 28064
n02999410 27752
n02165456 27554
n02268443 26295
n07873807 23864
n03447447 23826
n04275548 23465
n01910747 23365
n02395406 23258
n02226429 22607
n07749582 22293
n02950826 22075
n03160309 21933
n03976657 21784
n07753592 21565
n04399382 21093
n02279972 20304
n02219486 19847
n02190166 19792
n03201208 19756
n07579787 19692
n02808440 19490
n01950731 19283
n02268853 18920
n04532670 18596
n03617480 18350
n03179701 18121
n02410509 17901
n02125311 17759
n09332890 17419
n09428293 16902
n02699494 16654
n01770393 16046
n02509815 16046
n02892201 15883
n02769748 15801
n02814533 15673
n03977966 14994
n02123045 14375
n01914609 14258
n02236044 13877
n04465501 13746
n02795169 13151
n04074963 12654
n02480495 12180
n02837789 11507
n02229544 11170
n03126707 10956
n04562935 10873
n03100240 10811
n01882714 10776
n02909870 10548
n02085620 10543
n02317335 10341
n02099601 9895
n03854065 9774
n03662601 8904
n02415577 8893
n03804744 8733
n03355925 8728
n04285008 8681
n04366367 8580
n03670208 8429
n02106662 8352
n02814860 8247
n04456115 8190
n01774750 8165
n02917067 8117
n02486410 8080
n02788148 7966
n02481823 7630
n03014705 7566
n02843684 7462
n01945685 7300
n03770439 7021
n04398044 6549
n02276258 6534
n03837869 6481
n07615774 6481
n02256656 6425
n07920052 6355
n02963159 6282
n07768694 6104
n04251144 6096
n02730930 6034
n02802426 6018
n02906734 5971
n01443537 5899
n02791270 5848
n04099969 5706
n02132136 5570
n03599486 5550
n04008634 5535
n02423022 5504
n01984695 4967
n02883205 4816
n04417672 4692
n04146614 4473
n09193705 4455
n03544143 4449
n01770081 4388
n03424325 4183
n03584254 4179
n04487081 4054
n04540053 4053
n02058221 4052
n02504458 3895
n02977058 3743
n06596364 3721
n04254777 3690
n02403003 3551
n04070727 3495
n04067472 3476
n02841315 3471
n03089624 3361
n02099712 3352
n01985128 3292
n02233338 3268
n04259630 3219
n03649909 3140
n07715103 3066
n02177972 3054
n01784675 3004
