epoch train test
0.000 15.156 17.570
1.000 22.609 28.593
2.000 24.159 30.652
3.000 26.376 37.481
4.000 27.577 38.844
5.000 27.050 37.393
6.000 26.879 38.296
7.000 28.819 40.059
8.000 28.011 38.993
9.000 27.673 38.563
10.000 28.213 39.896
11.000 26.356 39.807
12.000 29.246 42.978
13.000 28.277 40.148
14.000 28.365 41.674
15.000 28.690 40.756
16.000 28.939 42.089
17.000 27.860 39.896
18.000 25.881 36.430
19.000 29.025 40.548
20.000 28.997 41.926
21.000 29.504 43.911
22.000 29.418 43.096
23.000 28.689 41.585
24.000 28.308 41.170
25.000 27.742 41.052
26.000 30.266 44.400
27.000 26.230 38.444
28.000 27.773 42.193
29.000 28.644 41.793
30.000 41.736 61.200
31.000 42.332 63.733
32.000 42.727 62.785
33.000 42.676 63.970
34.000 43.270 65.733
35.000 43.591 65.881
36.000 44.195 65.763
37.000 43.953 66.059
38.000 42.610 66.059
39.000 44.448 66.667
40.000 44.767 67.170
41.000 44.980 68.370
42.000 44.643 67.467
43.000 45.043 68.459
44.000 45.233 68.711
45.000 45.520 68.741
46.000 43.961 66.578
47.000 45.684 68.489
48.000 45.188 68.015
49.000 45.215 69.526
50.000 45.333 69.348
51.000 45.337 69.081
52.000 45.751 69.259
53.000 45.598 69.274
54.000 45.576 69.748
55.000 45.595 69.911
56.000 45.799 70.000
57.000 45.090 69.630
58.000 45.373 69.615
59.000 45.669 69.541
60.000 51.708 77.200
61.000 52.398 77.793
62.000 52.937 78.326
63.000 53.325 78.015
64.000 53.675 78.207
65.000 53.904 78.400
66.000 54.077 78.415
67.000 54.234 79.052
68.000 54.442 78.948
69.000 54.495 78.178
70.000 54.762 78.385
71.000 54.740 78.059
72.000 54.889 79.052
73.000 54.986 78.296
74.000 54.906 78.341
75.000 55.159 78.178
76.000 55.101 78.652
77.000 55.268 78.504
78.000 55.318 77.763
79.000 55.372 78.089
80.000 55.239 77.674
81.000 55.163 77.941
82.000 55.404 77.896
83.000 55.507 77.719
84.000 55.563 77.437
85.000 55.592 77.704
86.000 55.664 77.393
87.000 55.770 77.244
88.000 55.499 77.422
89.000 55.767 78.252
90.000 58.504 79.807
91.000 58.895 79.689
92.000 59.213 79.674
93.000 59.419 79.526
94.000 59.630 79.704
95.000 59.868 79.526
96.000 59.996 79.644
97.000 60.105 79.259
98.000 60.284 79.259
99.000 60.326 79.170
100.000 60.512 79.733
101.000 60.618 79.733
102.000 60.678 79.807
103.000 60.894 79.348
104.000 60.806 79.541
105.000 61.052 79.244
106.000 61.162 79.333
107.000 61.169 79.052
108.000 61.374 79.067
109.000 61.411 78.933
110.000 61.511 78.933
111.000 61.573 78.859
112.000 61.662 78.859
113.000 61.776 78.563
114.000 61.881 78.637
115.000 61.935 78.859
116.000 61.989 78.652
117.000 62.183 78.533
118.000 62.216 78.237
119.000 62.311 78.296
120.000 62.332 78.681
121.000 62.364 78.667
