epoch train test
0.000 3.580 3.600
1.000 11.255 11.320
2.000 20.390 21.960
3.000 24.646 26.880
4.000 32.693 35.940
5.000 38.613 41.960
6.000 41.425 45.080
7.000 44.962 48.680
8.000 45.587 49.720
9.000 50.068 53.700
10.000 51.909 55.700
11.000 53.234 58.120
12.000 54.668 58.020
13.000 52.863 55.840
14.000 55.872 60.700
15.000 52.479 56.700
16.000 60.854 64.200
17.000 55.046 59.620
18.000 60.112 63.380
19.000 62.172 66.040
20.000 58.929 63.640
21.000 60.868 63.920
22.000 58.445 62.320
23.000 60.873 64.920
24.000 51.992 56.600
25.000 62.110 66.000
26.000 55.498 59.880
27.000 58.875 62.840
28.000 64.398 68.980
29.000 61.284 65.000
30.000 78.891 80.540
31.000 80.115 80.840
32.000 80.550 81.620
33.000 81.012 81.520
34.000 81.364 81.440
35.000 81.786 81.160
36.000 81.417 81.880
37.000 82.605 82.300
38.000 83.040 82.680
39.000 82.137 81.560
40.000 82.978 81.920
41.000 83.432 82.120
42.000 83.817 81.920
43.000 83.594 82.700
44.000 84.319 82.680
45.000 83.898 82.040
46.000 84.348 82.860
47.000 84.315 82.340
48.000 85.041 82.920
49.000 84.715 82.120
50.000 84.092 81.840
51.000 81.308 79.740
52.000 84.214 82.100
53.000 84.534 82.180
54.000 84.976 82.480
55.000 85.918 82.440
56.000 85.223 82.000
57.000 85.995 82.440
58.000 85.763 82.460
59.000 85.865 83.060
60.000 88.298 84.440
61.000 88.608 84.820
62.000 88.745 84.740
63.000 89.058 84.860
64.000 89.199 84.920
65.000 89.230 84.560
66.000 89.192 84.620
67.000 89.398 84.960
68.000 89.548 84.840
69.000 89.462 85.000
70.000 89.850 84.980
71.000 89.482 84.740
72.000 89.742 85.000
73.000 89.466 84.620
74.000 89.818 84.660
75.000 89.829 84.840
76.000 89.930 84.900
77.000 89.940 84.800
78.000 89.558 84.460
79.000 89.877 84.460
80.000 90.035 84.780
81.000 90.212 84.620
82.000 90.027 84.880
83.000 90.095 84.560
84.000 90.299 84.700
85.000 90.200 84.420
86.000 90.063 84.620
87.000 90.221 84.460
88.000 89.849 84.160
89.000 90.198 84.400
90.000 90.692 84.840
91.000 90.710 84.660
92.000 90.620 84.620
93.000 90.506 84.780
94.000 90.627 84.820
95.000 90.873 84.840
96.000 90.868 84.860
97.000 90.802 84.900
98.000 90.344 84.460
99.000 90.818 84.780
100.000 90.755 84.600
101.000 90.837 84.740
102.000 90.366 84.940
103.000 90.721 84.920
104.000 90.654 84.780
105.000 90.929 84.820
106.000 90.720 84.560
107.000 90.768 84.780
108.000 90.628 84.700
109.000 90.582 84.420
110.000 90.843 84.980
111.000 90.674 84.680
