epoch train test
0.000 27.412 26.000
1.000 32.065 33.067
2.000 35.582 40.933
3.000 40.569 43.733
4.000 34.271 29.867
5.000 43.096 50.800
6.000 48.174 41.733
7.000 48.436 44.800
8.000 51.220 37.600
9.000 53.473 38.667
10.000 53.229 51.867
11.000 55.388 49.067
12.000 56.085 41.333
13.000 58.564 52.933
14.000 58.000 56.933
15.000 59.626 62.400
16.000 60.470 59.600
17.000 58.331 60.133
18.000 60.654 49.067
19.000 62.145 49.333
20.000 60.946 43.600
21.000 60.166 40.267
22.000 56.089 57.067
23.000 59.928 52.133
24.000 62.419 50.933
25.000 61.896 45.600
26.000 63.732 61.867
27.000 62.389 60.400
28.000 63.379 62.667
29.000 64.063 75.333
30.000 73.813 66.000
31.000 74.682 66.667
32.000 75.382 65.200
33.000 75.813 66.267
34.000 76.242 63.467
35.000 76.773 68.667
36.000 77.090 62.933
37.000 77.251 63.333
38.000 77.637 66.000
39.000 78.074 67.200
40.000 78.379 66.800
41.000 78.723 61.200
42.000 79.050 65.200
43.000 79.406 66.933
44.000 79.566 62.933
45.000 79.974 65.200
46.000 80.048 60.800
47.000 79.879 63.067
48.000 80.704 62.267
49.000 80.591 67.867
50.000 81.158 63.067
51.000 80.538 64.267
52.000 81.495 62.933
53.000 81.974 62.667
54.000 81.837 65.467
55.000 81.872 61.867
56.000 81.595 62.267
57.000 81.450 66.667
58.000 82.311 60.933
59.000 82.642 65.867
60.000 85.805 62.400
61.000 86.044 62.800
62.000 86.400 62.533
63.000 86.578 64.267
64.000 86.627 65.200
65.000 86.831 61.067
66.000 86.786 63.600
67.000 87.065 62.933
68.000 87.203 63.200
69.000 87.248 64.000
70.000 87.324 63.733
71.000 87.470 62.533
72.000 87.527 63.467
73.000 87.523 62.267
74.000 87.750 62.533
75.000 87.771 61.600
76.000 87.846 62.267
77.000 87.877 64.000
78.000 87.959 62.000
79.000 87.791 62.933
80.000 88.081 61.733
81.000 88.178 64.133
82.000 88.182 59.867
83.000 88.174 60.533
84.000 88.264 61.733
85.000 88.301 60.933
86.000 88.485 63.067
87.000 88.448 59.600
88.000 88.500 62.800
89.000 88.508 63.333
90.000 88.680 63.067
91.000 88.617 61.733
92.000 88.710 59.200
93.000 88.818 62.400
94.000 88.722 61.333
95.000 88.810 59.067
96.000 88.895 62.533
97.000 88.945 60.400
98.000 88.936 63.067
99.000 88.991 60.800
100.000 89.000 62.800
101.000 88.979 63.200
102.000 89.220 62.133
103.000 89.210 63.600
104.000 89.249 61.067
105.000 89.180 62.400
106.000 89.278 62.133
107.000 89.224 62.133
108.000 89.488 60.400
109.000 89.380 63.733
110.000 89.489 63.200
111.000 89.492 62.000
112.000 89.701 60.933
113.000 89.466 62.667
114.000 89.550 62.133
115.000 89.586 62.000
116.000 89.689 64.800
117.000 89.625 62.800
118.000 89.813 63.200
119.000 89.819 62.267
