epoch train test
0.000 19.118 16.267
1.000 22.200 22.133
2.000 26.744 25.733
3.000 30.626 30.133
4.000 31.872 33.333
5.000 39.733 41.600
6.000 34.559 36.400
7.000 28.785 31.067
8.000 43.744 46.000
9.000 33.918 35.333
10.000 43.964 46.267
11.000 46.215 49.333
12.000 37.774 37.733
13.000 44.477 45.733
14.000 52.041 54.800
15.000 49.379 50.800
16.000 51.928 53.733
17.000 56.544 58.667
18.000 49.144 51.333
19.000 44.190 44.000
20.000 54.313 56.000
21.000 58.600 61.467
22.000 57.590 61.333
23.000 64.754 66.933
24.000 60.313 58.667
25.000 63.103 62.667
26.000 59.410 59.467
27.000 67.969 68.400
28.000 71.872 73.067
29.000 71.713 70.667
30.000 79.364 78.267
31.000 80.287 78.400
32.000 81.210 79.733
33.000 81.677 79.200
34.000 82.092 79.733
35.000 81.759 80.000
36.000 82.072 79.600
37.000 82.667 80.000
38.000 83.169 80.667
39.000 82.800 78.533
40.000 82.985 80.400
41.000 83.210 79.733
42.000 83.349 80.133
43.000 83.744 79.200
44.000 84.005 79.600
45.000 84.226 80.800
46.000 84.564 80.667
47.000 84.738 80.267
48.000 84.790 81.200
49.000 84.959 79.200
50.000 84.569 80.267
51.000 84.918 80.933
52.000 84.974 80.800
53.000 84.513 79.333
54.000 85.733 81.333
55.000 85.426 81.200
56.000 85.969 82.133
57.000 86.021 80.133
58.000 86.015 79.733
59.000 85.600 80.000
60.000 87.118 81.200
61.000 87.903 80.933
62.000 88.154 81.067
63.000 87.995 81.600
64.000 88.062 81.467
65.000 88.103 81.733
66.000 88.031 81.867
67.000 88.082 81.200
68.000 88.256 81.200
69.000 88.190 81.333
70.000 87.944 81.867
71.000 88.503 81.867
72.000 88.067 81.600
73.000 88.041 82.267
74.000 88.210 82.000
75.000 88.005 81.333
76.000 88.379 81.733
77.000 88.323 81.600
78.000 88.318 81.600
79.000 88.379 81.733
80.000 88.538 81.600
81.000 88.538 81.733
82.000 88.728 82.267
83.000 88.800 82.267
84.000 88.472 82.133
85.000 88.231 81.733
86.000 88.595 81.867
87.000 88.472 82.267
88.000 88.646 82.000
89.000 88.544 81.733
90.000 88.708 81.867
91.000 88.749 82.133
92.000 88.574 82.533
93.000 88.544 82.400
94.000 89.154 82.400
95.000 88.841 82.133
96.000 88.908 82.000
97.000 88.774 82.133
98.000 88.738 82.000
99.000 88.836 82.667
100.000 88.779 82.400
101.000 88.621 82.000
102.000 89.154 82.267
103.000 88.918 82.000
104.000 88.846 81.600
105.000 89.185 82.133
106.000 88.769 82.133
107.000 89.036 82.267
108.000 88.862 82.000
109.000 88.903 82.000
110.000 88.790 82.133
111.000 89.328 81.600
112.000 89.072 82.400
113.000 89.062 81.600
114.000 89.082 81.867
115.000 89.338 82.133
116.000 89.251 82.133
117.000 89.441 81.867
118.000 89.256 82.800
119.000 89.708 82.000
