epoch train test
0.000 21.450 11.615
1.000 5.369 3.846
2.000 31.162 23.538
3.000 34.304 29.692
4.000 38.323 38.000
5.000 39.496 39.692
6.000 44.335 45.077
7.000 40.021 42.000
8.000 43.015 45.692
9.000 45.758 50.154
10.000 46.634 52.231
11.000 48.230 56.077
12.000 48.189 53.462
13.000 48.199 52.923
14.000 48.834 55.000
15.000 48.882 59.846
16.000 50.870 61.077
17.000 50.143 56.308
18.000 49.940 58.231
19.000 50.160 58.538
20.000 48.485 53.154
21.000 47.714 57.231
22.000 50.784 59.077
23.000 50.279 62.231
24.000 52.373 61.692
25.000 50.613 62.769
26.000 52.562 62.077
27.000 48.857 57.385
28.000 51.857 60.923
29.000 45.149 48.538
30.000 63.047 75.769
31.000 64.049 77.000
32.000 64.623 77.308
33.000 64.213 76.231
34.000 65.340 77.846
35.000 65.076 77.462
36.000 65.840 78.615
37.000 65.782 78.692
38.000 65.639 79.385
39.000 65.396 77.385
40.000 66.151 77.769
41.000 65.891 75.615
42.000 66.769 78.231
43.000 65.493 75.385
44.000 66.152 77.154
45.000 66.201 77.000
46.000 66.658 78.000
47.000 66.900 78.308
48.000 64.260 76.923
49.000 66.924 78.462
50.000 66.946 76.692
51.000 67.845 78.846
52.000 67.279 77.769
53.000 67.378 75.308
54.000 67.586 76.923
55.000 67.576 77.615
56.000 67.845 77.538
57.000 68.073 77.077
58.000 68.072 78.154
59.000 67.857 77.769
60.000 73.584 81.462
61.000 74.145 81.308
62.000 74.564 81.846
63.000 75.231 82.154
64.000 75.650 81.692
65.000 75.659 80.923
66.000 76.158 81.846
67.000 76.355 81.615
68.000 75.933 81.308
69.000 77.163 82.385
70.000 77.064 81.231
71.000 77.293 81.769
72.000 77.641 81.385
73.000 77.652 81.231
74.000 77.920 80.462
75.000 78.306 81.385
76.000 78.773 81.077
77.000 78.325 80.538
78.000 78.916 81.923
79.000 79.235 80.692
80.000 79.339 81.000
81.000 79.537 81.000
82.000 76.676 78.923
83.000 79.974 80.692
84.000 79.507 80.538
85.000 79.535 81.000
86.000 80.427 80.000
87.000 80.501 79.692
88.000 80.711 79.308
89.000 79.481 80.692
90.000 80.133 79.462
91.000 80.432 78.769
92.000 81.277 79.538
93.000 80.980 80.077
94.000 81.648 79.615
95.000 81.834 79.615
96.000 80.938 79.692
97.000 81.456 78.538
98.000 82.137 79.692
99.000 82.184 78.846
100.000 81.930 78.769
101.000 82.497 79.692
102.000 82.086 80.615
103.000 82.425 78.923
104.000 82.433 80.538
105.000 82.516 79.923
106.000 82.884 80.154
107.000 82.754 78.538
108.000 83.322 80.154
109.000 83.125 79.385
110.000 82.912 79.846
111.000 82.852 78.308
112.000 83.462 80.385
113.000 82.645 78.846
114.000 83.577 79.462
115.000 83.445 78.538
116.000 83.888 79.154
117.000 83.633 78.231
118.000 83.891 76.769
119.000 82.270 78.692
120.000 83.828 78.769
121.000 83.954 78.385
122.000 84.190 78.769
123.000 83.804 77.308
124.000 84.468 78.923
125.000 84.232 78.308
126.000 84.628 78.846
127.000 84.204 77.538
128.000 84.395 77.538
129.000 84.504 78.462
130.000 84.739 78.615
131.000 84.749 77.769
132.000 84.472 77.615
133.000 83.149 77.154
134.000 83.411 79.077
135.000 84.790 78.462
136.000 84.868 77.923
137.000 83.496 78.769
138.000 84.207 77.385
139.000 84.904 79.385
140.000 85.437 77.769
141.000 85.058 79.077
142.000 82.965 77.385
143.000 85.007 78.000
144.000 85.369 78.231
145.000 85.393 79.154
146.000 80.692 76.231
147.000 85.003 78.769
148.000 85.711 77.846
149.000 84.897 79.846
