epoch train test
0.0000 21.4502 11.6154
1.0000 5.3693 3.8462
2.0000 31.1616 23.5385
3.0000 34.3037 29.6923
4.0000 38.3232 38.0000
5.0000 39.4956 39.6923
6.0000 44.3354 45.0769
7.0000 40.0210 42.0000
8.0000 43.0154 45.6923
9.0000 45.7580 50.1538
10.0000 46.6343 52.2308
11.0000 48.2298 56.0769
12.0000 48.1887 53.4615
13.0000 48.1993 52.9231
14.0000 48.8337 55.0000
15.0000 48.8825 59.8462
16.0000 50.8704 61.0769
17.0000 50.1432 56.3077
18.0000 49.9405 58.2308
19.0000 50.1597 58.5385
20.0000 48.4851 53.1538
21.0000 47.7140 57.2308
22.0000 50.7840 59.0769
23.0000 50.2795 62.2308
24.0000 52.3730 61.6923
25.0000 50.6133 62.7692
26.0000 52.5623 62.0769
27.0000 48.8574 57.3846
28.0000 51.8569 60.9231
29.0000 45.1492 48.5385
30.0000 63.0472 75.7692
31.0000 64.0492 77.0000
32.0000 64.6226 77.3077
33.0000 64.2126 76.2308
34.0000 65.3398 77.8462
35.0000 65.0762 77.4615
36.0000 65.8399 78.6154
37.0000 65.7815 78.6923
38.0000 65.6385 79.3846
39.0000 65.3956 77.3846
40.0000 66.1513 77.7692
41.0000 65.8913 75.6154
42.0000 66.7693 78.2308
43.0000 65.4934 75.3846
44.0000 66.1518 77.1538
45.0000 66.2011 77.0000
46.0000 66.6583 78.0000
47.0000 66.9005 78.3077
48.0000 64.2598 76.9231
49.0000 66.9245 78.4615
50.0000 66.9462 76.6923
51.0000 67.8449 78.8462
52.0000 67.2787 77.7692
53.0000 67.3784 75.3077
54.0000 67.5862 76.9231
55.0000 67.5759 77.6154
56.0000 67.8449 77.5385
57.0000 68.0729 77.0769
58.0000 68.0724 78.1538
59.0000 67.8570 77.7692
60.0000 73.5837 81.4615
61.0000 74.1452 81.3077
62.0000 74.5637 81.8462
63.0000 75.2309 82.1538
64.0000 75.6502 81.6923
65.0000 75.6589 80.9231
66.0000 76.1577 81.8462
67.0000 76.3555 81.6154
68.0000 75.9334 81.3077
69.0000 77.1633 82.3846
70.0000 77.0637 81.2308
71.0000 77.2935 81.7692
72.0000 77.6412 81.3846
73.0000 77.6523 81.2308
74.0000 77.9195 80.4615
75.0000 78.3063 81.3846
76.0000 78.7726 81.0769
77.0000 78.3246 80.5385
78.0000 78.9164 81.9231
79.0000 79.2355 80.6923
80.0000 79.3393 81.0000
81.0000 79.5373 81.0000
82.0000 76.6762 78.9231
83.0000 79.9736 80.6923
84.0000 79.5068 80.5385
85.0000 79.5350 81.0000
86.0000 80.4275 80.0000
87.0000 80.5013 79.6923
88.0000 80.7107 79.3077
89.0000 79.4810 80.6923
90.0000 80.1332 79.4615
91.0000 80.4316 78.7692
92.0000 81.2772 79.5385
93.0000 80.9797 80.0769
94.0000 81.6479 79.6154
95.0000 81.8335 79.6154
96.0000 80.9384 79.6923
97.0000 81.4556 78.5385
98.0000 82.1374 79.6923
99.0000 82.1844 78.8462
100.0000 81.9303 78.7692
101.0000 82.4970 79.6923
102.0000 82.0863 80.6154
103.0000 82.4248 78.9231
104.0000 82.4328 80.5385
105.0000 82.5159 79.9231
106.0000 82.8843 80.1538
107.0000 82.7539 78.5385
108.0000 83.3217 80.1538
109.0000 83.1249 79.3846
110.0000 82.9122 79.8462
111.0000 82.8520 78.3077
112.0000 83.4616 80.3846
113.0000 82.6452 78.8462
114.0000 83.5768 79.4615
115.0000 83.4446 78.5385
116.0000 83.8884 79.1538
117.0000 83.6325 78.2308
118.0000 83.8910 76.7692
119.0000 82.2696 78.6923
120.0000 83.8285 78.7692
121.0000 83.9542 78.3846
122.0000 84.1897 78.7692
123.0000 83.8045 77.3077
124.0000 84.4682 78.9231
125.0000 84.2320 78.3077
126.0000 84.6278 78.8462
127.0000 84.2036 77.5385
128.0000 84.3949 77.5385
129.0000 84.5044 78.4615
130.0000 84.7388 78.6154
131.0000 84.7489 77.7692
132.0000 84.4716 77.6154
133.0000 83.1495 77.1538
134.0000 83.4110 79.0769
135.0000 84.7902 78.4615
136.0000 84.8684 77.9231
137.0000 83.4962 78.7692
138.0000 84.2075 77.3846
139.0000 84.9035 79.3846
140.0000 85.4374 77.7692
141.0000 85.0582 79.0769
142.0000 82.9654 77.3846
143.0000 85.0073 78.0000
144.0000 85.3693 78.2308
145.0000 85.3930 79.1538
146.0000 80.6916 76.2308
147.0000 85.0032 78.7692
148.0000 85.7111 77.8462
149.0000 84.8966 79.8462
