epoch train test
0.000 17.280 19.240
1.000 22.943 32.600
2.000 26.964 40.460
3.000 30.693 47.180
4.000 34.461 53.720
5.000 34.751 56.080
6.000 35.873 58.220
7.000 34.479 57.360
8.000 37.340 60.280
9.000 37.732 61.280
10.000 37.485 59.300
11.000 38.887 61.780
12.000 37.857 59.660
13.000 39.158 63.540
14.000 40.039 63.240
15.000 40.000 64.340
16.000 39.708 65.220
17.000 39.982 65.460
18.000 39.434 63.080
19.000 39.442 62.840
20.000 39.326 64.700
21.000 39.728 65.500
22.000 40.557 65.960
23.000 40.540 64.960
24.000 37.310 59.700
25.000 40.844 67.740
26.000 39.290 64.040
27.000 39.038 64.740
28.000 40.629 65.840
29.000 40.888 67.640
30.000 52.963 82.160
31.000 53.928 82.980
32.000 54.274 83.080
33.000 53.942 83.440
34.000 54.327 82.800
35.000 54.605 82.920
36.000 54.439 82.740
37.000 54.713 83.020
38.000 54.847 83.460
39.000 54.752 83.480
40.000 55.223 83.320
41.000 55.150 84.320
42.000 55.321 83.040
43.000 55.461 83.860
44.000 55.414 84.400
45.000 55.878 83.780
46.000 55.397 84.640
47.000 56.109 85.100
48.000 55.110 83.760
49.000 56.042 84.800
50.000 55.265 83.760
51.000 56.152 84.320
52.000 55.845 83.320
53.000 56.105 83.920
54.000 56.231 83.940
55.000 56.263 83.440
56.000 56.975 85.260
57.000 56.833 84.740
58.000 56.373 85.280
59.000 56.611 83.760
60.000 62.014 88.740
61.000 62.710 88.680
62.000 63.236 89.100
63.000 63.548 89.060
64.000 63.872 89.180
65.000 64.150 89.040
66.000 64.385 88.800
67.000 64.658 88.720
68.000 64.890 88.700
69.000 65.154 89.440
70.000 65.266 89.120
71.000 65.501 88.640
72.000 65.602 88.700
73.000 65.845 89.040
74.000 66.017 88.800
75.000 65.969 88.520
76.000 66.332 88.440
77.000 66.329 88.180
78.000 66.415 88.120
79.000 66.578 88.520
80.000 66.625 87.700
81.000 66.830 88.240
82.000 67.038 88.100
83.000 66.973 87.940
84.000 67.284 87.980
85.000 67.389 88.020
86.000 67.444 87.940
87.000 67.474 87.640
88.000 67.568 87.180
89.000 67.483 87.280
90.000 69.554 88.260
91.000 69.974 88.220
92.000 70.160 88.180
93.000 70.346 88.280
94.000 70.547 88.240
95.000 70.637 88.400
96.000 70.800 88.180
97.000 70.850 88.180
98.000 70.958 88.260
99.000 71.112 88.380
