imagenet flickr im_low im_high fli_low fli_high
1.00 1.00 0.93 1.00 0.93 1.00
1.00 1.00 0.93 1.00 0.93 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.98 0.98 0.89 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.96 0.98 0.86 1.00 0.89 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.94 0.96 0.83 0.99 0.86 1.00
0.92 0.96 0.81 0.98 0.86 1.00
0.92 0.96 0.81 0.98 0.86 1.00
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.92 0.94 0.81 0.98 0.83 0.99
0.90 0.94 0.78 0.97 0.83 0.99
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.92 0.78 0.97 0.81 0.98
0.90 0.90 0.78 0.97 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.90 0.76 0.95 0.78 0.97
0.88 0.88 0.76 0.95 0.76 0.95
0.88 0.88 0.76 0.95 0.76 0.95
0.88 0.88 0.76 0.95 0.76 0.95
0.88 0.88 0.76 0.95 0.76 0.95
0.88 0.88 0.76 0.95 0.76 0.95
0.86 0.88 0.73 0.94 0.76 0.95
0.86 0.88 0.73 0.94 0.76 0.95
0.86 0.88 0.73 0.94 0.76 0.95
0.86 0.88 0.73 0.94 0.76 0.95
0.86 0.86 0.73 0.94 0.73 0.94
0.86 0.86 0.73 0.94 0.73 0.94
0.86 0.86 0.73 0.94 0.73 0.94
0.86 0.86 0.73 0.94 0.73 0.94
0.86 0.86 0.73 0.94 0.73 0.94
0.84 0.86 0.71 0.93 0.73 0.94
0.84 0.86 0.71 0.93 0.73 0.94
0.84 0.84 0.71 0.93 0.71 0.93
0.84 0.84 0.71 0.93 0.71 0.93
0.84 0.84 0.71 0.93 0.71 0.93
0.84 0.82 0.71 0.93 0.69 0.91
0.84 0.82 0.71 0.93 0.69 0.91
0.84 0.82 0.71 0.93 0.69 0.91
0.84 0.82 0.71 0.93 0.69 0.91
0.82 0.80 0.69 0.91 0.66 0.90
0.82 0.80 0.69 0.91 0.66 0.90
0.82 0.80 0.69 0.91 0.66 0.90
0.82 0.80 0.69 0.91 0.66 0.90
0.82 0.80 0.69 0.91 0.66 0.90
0.82 0.78 0.69 0.91 0.64 0.88
0.82 0.78 0.69 0.91 0.64 0.88
0.82 0.78 0.69 0.91 0.64 0.88
0.82 0.78 0.69 0.91 0.64 0.88
0.82 0.78 0.69 0.91 0.64 0.88
0.80 0.76 0.66 0.90 0.62 0.87
0.80 0.76 0.66 0.90 0.62 0.87
0.80 0.74 0.66 0.90 0.60 0.85
0.80 0.74 0.66 0.90 0.60 0.85
0.80 0.74 0.66 0.90 0.60 0.85
0.80 0.74 0.66 0.90 0.60 0.85
0.80 0.72 0.66 0.90 0.58 0.84
0.80 0.72 0.66 0.90 0.58 0.84
0.78 0.72 0.64 0.88 0.58 0.84
0.78 0.72 0.64 0.88 0.58 0.84
0.78 0.70 0.64 0.88 0.55 0.82
0.78 0.70 0.64 0.88 0.55 0.82
0.78 0.70 0.64 0.88 0.55 0.82
0.78 0.68 0.64 0.88 0.53 0.80
0.78 0.68 0.64 0.88 0.53 0.80
0.78 0.68 0.64 0.88 0.53 0.80
0.78 0.66 0.64 0.88 0.51 0.79
0.76 0.64 0.62 0.87 0.49 0.77
0.76 0.64 0.62 0.87 0.49 0.77
0.76 0.64 0.62 0.87 0.49 0.77
0.74 0.62 0.60 0.85 0.47 0.75
0.74 0.62 0.60 0.85 0.47 0.75
0.74 0.60 0.60 0.85 0.45 0.74
0.72 0.60 0.58 0.84 0.45 0.74
0.72 0.58 0.58 0.84 0.41 0.70
0.72 0.58 0.58 0.84 0.41 0.70
0.72 0.58 0.58 0.84 0.41 0.70
0.72 0.58 0.58 0.84 0.41 0.70
0.72 0.56 0.58 0.84 0.41 0.70
0.72 0.52 0.58 0.84 0.37 0.66
0.70 0.50 0.55 0.82 0.36 0.64
0.70 0.48 0.55 0.82 0.34 0.63
0.70 0.46 0.55 0.82 0.32 0.61
0.70 0.46 0.55 0.82 0.32 0.61
0.70 0.44 0.55 0.82 0.30 0.59
0.68 0.44 0.53 0.80 0.30 0.59
0.68 0.40 0.53 0.80 0.26 0.55
0.66 0.40 0.51 0.79 0.26 0.55
0.66 0.38 0.51 0.79 0.25 0.53
0.62 0.32 0.47 0.75 0.20 0.47
0.60 0.30 0.45 0.74 0.18 0.45
0.60 0.18 0.45 0.74 0.09 0.31
0.56 0.10 0.41 0.70 0.03 0.22
0.54 0.06 0.39 0.68 0.01 0.17
