epoch train test
0.000 5.902 6.231
1.000 11.456 11.769
2.000 14.163 14.077
3.000 16.204 15.231
4.000 18.846 18.615
5.000 21.896 21.923
6.000 23.192 23.692
7.000 23.642 25.385
8.000 26.612 27.538
9.000 29.598 30.308
10.000 30.707 33.385
11.000 32.237 34.846
12.000 33.092 34.846
13.000 35.065 34.923
14.000 36.080 37.615
15.000 37.266 37.923
16.000 34.107 35.538
17.000 39.565 40.846
18.000 41.077 40.462
19.000 40.311 42.154
20.000 44.080 44.308
21.000 46.145 47.538
22.000 48.405 48.692
23.000 46.870 46.462
24.000 48.790 49.692
25.000 49.254 49.538
26.000 47.781 49.462
27.000 49.680 51.615
28.000 47.062 48.308
29.000 53.580 52.538
30.000 64.680 65.231
31.000 66.624 66.769
32.000 67.056 66.154
33.000 67.695 67.308
34.000 68.133 66.846
35.000 69.320 68.154
36.000 69.805 68.385
37.000 69.938 68.769
38.000 70.249 68.154
39.000 70.376 68.769
40.000 71.006 68.923
41.000 71.254 68.462
42.000 71.630 69.154
43.000 72.101 69.923
44.000 72.074 69.231
45.000 72.911 69.000
46.000 71.314 70.000
47.000 73.799 70.692
48.000 71.686 70.154
49.000 74.142 69.385
50.000 74.334 70.692
51.000 74.722 70.846
52.000 74.246 70.769
53.000 73.778 69.769
54.000 75.290 70.692
55.000 74.624 71.077
56.000 75.027 70.000
57.000 76.121 72.769
58.000 75.296 71.077
59.000 76.163 71.231
60.000 79.893 73.846
61.000 80.663 74.846
62.000 80.645 74.923
63.000 81.136 74.538
64.000 81.473 74.385
65.000 81.453 74.769
66.000 81.322 75.308
67.000 81.382 75.308
68.000 81.568 74.615
69.000 82.142 75.000
70.000 82.317 75.231
71.000 82.142 74.769
72.000 82.370 75.385
73.000 82.577 75.077
74.000 82.888 75.000
75.000 82.763 74.692
76.000 83.080 75.385
77.000 83.186 75.462
78.000 83.142 75.308
79.000 83.083 74.923
80.000 82.967 74.769
81.000 83.509 74.923
82.000 83.538 75.154
83.000 83.231 75.077
84.000 83.633 74.769
85.000 83.796 75.231
86.000 83.722 75.615
87.000 84.240 74.846
88.000 84.281 75.231
89.000 84.234 75.231
90.000 84.068 74.846
91.000 84.473 76.077
92.000 84.154 74.615
93.000 84.568 75.308
94.000 84.420 74.692
95.000 84.834 74.769
96.000 84.524 75.231
97.000 85.080 75.846
98.000 84.713 75.385
99.000 85.000 75.385
100.000 85.402 75.692
101.000 85.361 76.385
102.000 85.388 76.308
103.000 85.479 74.615
104.000 85.710 75.077
105.000 85.630 75.462
106.000 85.879 75.308
107.000 85.615 75.154
108.000 85.956 75.923
109.000 86.104 75.615
110.000 86.065 75.385
111.000 86.364 75.385
112.000 86.260 76.000
113.000 86.441 75.154
114.000 86.689 75.462
115.000 86.320 76.769
116.000 86.050 75.385
117.000 86.692 75.385
118.000 86.669 75.769
119.000 86.642 75.846
120.000 86.689 75.308
121.000 86.959 75.154
122.000 86.967 75.308
123.000 87.050 75.615
124.000 87.092 75.692
125.000 87.121 75.077
126.000 87.399 74.846
127.000 87.731 74.692
128.000 87.423 74.692
129.000 87.293 74.462
130.000 87.405 74.538
131.000 87.799 75.923
132.000 88.044 75.923
133.000 87.565 75.769
134.000 87.820 75.077
135.000 88.163 75.154
136.000 88.012 75.385
137.000 88.260 74.385
138.000 88.231 75.231
139.000 88.373 75.077
140.000 88.275 74.462
141.000 88.541 75.846
142.000 88.391 75.154
143.000 88.828 74.769
144.000 88.476 75.692
145.000 88.846 75.077
146.000 88.565 75.308
147.000 88.624 75.615
148.000 88.920 75.846
149.000 88.870 75.308
