epoch train test
0.0000 5.9024 6.2308
1.0000 11.4556 11.7692
2.0000 14.1627 14.0769
3.0000 16.2041 15.2308
4.0000 18.8462 18.6154
5.0000 21.8965 21.9231
6.0000 23.1923 23.6923
7.0000 23.6420 25.3846
8.0000 26.6124 27.5385
9.0000 29.5976 30.3077
10.0000 30.7071 33.3846
11.0000 32.2367 34.8462
12.0000 33.0917 34.8462
13.0000 35.0651 34.9231
14.0000 36.0799 37.6154
15.0000 37.2663 37.9231
16.0000 34.1065 35.5385
17.0000 39.5651 40.8462
18.0000 41.0769 40.4615
19.0000 40.3106 42.1538
20.0000 44.0799 44.3077
21.0000 46.1450 47.5385
22.0000 48.4053 48.6923
23.0000 46.8698 46.4615
24.0000 48.7899 49.6923
25.0000 49.2544 49.5385
26.0000 47.7811 49.4615
27.0000 49.6805 51.6154
28.0000 47.0621 48.3077
29.0000 53.5799 52.5385
30.0000 64.6805 65.2308
31.0000 66.6243 66.7692
32.0000 67.0562 66.1538
33.0000 67.6953 67.3077
34.0000 68.1331 66.8462
35.0000 69.3195 68.1538
36.0000 69.8047 68.3846
37.0000 69.9379 68.7692
38.0000 70.2485 68.1538
39.0000 70.3757 68.7692
40.0000 71.0059 68.9231
41.0000 71.2544 68.4615
42.0000 71.6302 69.1538
43.0000 72.1006 69.9231
44.0000 72.0740 69.2308
45.0000 72.9112 69.0000
46.0000 71.3136 70.0000
47.0000 73.7988 70.6923
48.0000 71.6864 70.1538
49.0000 74.1420 69.3846
50.0000 74.3343 70.6923
51.0000 74.7219 70.8462
52.0000 74.2456 70.7692
53.0000 73.7781 69.7692
54.0000 75.2899 70.6923
55.0000 74.6243 71.0769
56.0000 75.0266 70.0000
57.0000 76.1213 72.7692
58.0000 75.2959 71.0769
59.0000 76.1627 71.2308
60.0000 79.8935 73.8462
61.0000 80.6627 74.8462
62.0000 80.6450 74.9231
63.0000 81.1361 74.5385
64.0000 81.4734 74.3846
65.0000 81.4527 74.7692
66.0000 81.3225 75.3077
67.0000 81.3817 75.3077
68.0000 81.5680 74.6154
69.0000 82.1420 75.0000
70.0000 82.3166 75.2308
71.0000 82.1420 74.7692
72.0000 82.3698 75.3846
73.0000 82.5769 75.0769
74.0000 82.8876 75.0000
75.0000 82.7633 74.6923
76.0000 83.0799 75.3846
77.0000 83.1864 75.4615
78.0000 83.1420 75.3077
79.0000 83.0828 74.9231
80.0000 82.9675 74.7692
81.0000 83.5089 74.9231
82.0000 83.5385 75.1538
83.0000 83.2308 75.0769
84.0000 83.6331 74.7692
85.0000 83.7959 75.2308
86.0000 83.7219 75.6154
87.0000 84.2396 74.8462
88.0000 84.2811 75.2308
89.0000 84.2337 75.2308
90.0000 84.0680 74.8462
91.0000 84.4734 76.0769
92.0000 84.1538 74.6154
93.0000 84.5680 75.3077
94.0000 84.4201 74.6923
95.0000 84.8343 74.7692
96.0000 84.5237 75.2308
97.0000 85.0799 75.8462
98.0000 84.7130 75.3846
99.0000 85.0000 75.3846
100.0000 85.4024 75.6923
101.0000 85.3609 76.3846
102.0000 85.3876 76.3077
103.0000 85.4793 74.6154
104.0000 85.7101 75.0769
105.0000 85.6302 75.4615
106.0000 85.8787 75.3077
107.0000 85.6154 75.1538
108.0000 85.9556 75.9231
109.0000 86.1036 75.6154
110.0000 86.0651 75.3846
111.0000 86.3639 75.3846
112.0000 86.2604 76.0000
113.0000 86.4408 75.1538
114.0000 86.6893 75.4615
115.0000 86.3195 76.7692
116.0000 86.0503 75.3846
117.0000 86.6923 75.3846
118.0000 86.6686 75.7692
119.0000 86.6420 75.8462
120.0000 86.6893 75.3077
121.0000 86.9586 75.1538
122.0000 86.9675 75.3077
123.0000 87.0503 75.6154
124.0000 87.0917 75.6923
125.0000 87.1213 75.0769
126.0000 87.3994 74.8462
127.0000 87.7308 74.6923
128.0000 87.4231 74.6923
129.0000 87.2929 74.4615
130.0000 87.4053 74.5385
131.0000 87.7988 75.9231
132.0000 88.0444 75.9231
133.0000 87.5651 75.7692
134.0000 87.8195 75.0769
135.0000 88.1627 75.1538
136.0000 88.0118 75.3846
137.0000 88.2604 74.3846
138.0000 88.2308 75.2308
139.0000 88.3728 75.0769
140.0000 88.2751 74.4615
141.0000 88.5414 75.8462
142.0000 88.3905 75.1538
143.0000 88.8284 74.7692
144.0000 88.4763 75.6923
145.0000 88.8462 75.0769
146.0000 88.5651 75.3077
147.0000 88.6243 75.6154
148.0000 88.9201 75.8462
149.0000 88.8698 75.3077
